,0,1,2,3,4
2455,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2456,1.0,0.0,0.0,0.0,0.0
2457,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2458,1.0,0.0,0.0,0.0,0.0
2459,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2460,1.0,0.0,0.0,0.0,0.0
2461,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2462,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2463,1.0,0.0,0.0,0.0,0.0
2464,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2465,1.0,0.0,0.0,0.0,0.0
2466,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2467,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2468,1.0,0.0,0.0,0.0,0.0
2469,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2470,1.0,0.0,0.0,0.0,0.0
2471,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2472,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2473,1.0,0.0,0.0,0.0,0.0
2474,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2475,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2476,1.0,0.0,0.0,0.0,0.0
2477,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2478,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2479,1.0,0.0,0.0,0.0,0.0
2480,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2481,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2482,1.0,0.0,0.0,0.0,0.0
2483,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2484,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2485,1.0,0.0,0.0,0.0,0.0
2486,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2487,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2488,1.0,0.0,0.0,0.0,0.0
2489,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2490,1.0,0.0,0.0,0.0,0.0
2491,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2492,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2493,1.0,0.0,0.0,0.0,0.0
2494,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2495,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2496,1.0,0.0,0.0,0.0,0.0
2497,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2498,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2499,1.0,0.0,0.0,0.0,0.0
2500,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2501,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2502,1.0,0.0,0.0,0.0,0.0
2503,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2504,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2505,1.0,0.0,0.0,0.0,0.0
2506,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2507,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2508,1.0,0.0,0.0,0.0,0.0
2509,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2510,1.0,0.0,0.0,0.0,0.0
2511,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2512,1.0,0.0,0.0,0.0,0.0
2513,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2514,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2515,1.0,0.0,0.0,0.0,0.0
2516,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2517,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2518,1.0,0.0,0.0,0.0,0.0
2519,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2520,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2521,1.0,0.0,0.0,0.0,0.0
2522,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2523,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2524,1.0,0.0,0.0,0.0,0.0
2525,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2526,1.0,0.0,0.0,0.0,0.0
2527,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2528,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2529,1.0,0.0,0.0,0.0,0.0
2530,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2531,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2532,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2533,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2534,1.0,0.0,0.0,0.0,0.0
2535,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2536,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2537,1.0,0.0,0.0,0.0,0.0
2538,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2539,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2540,1.0,0.0,0.0,0.0,0.0
2541,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2542,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2543,1.0,0.0,0.0,0.0,0.0
2544,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2545,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2546,1.0,0.0,0.0,0.0,0.0
2547,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2548,1.0,0.0,0.0,0.0,0.0
2549,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2550,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2551,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2552,1.0,0.0,0.0,0.0,0.0
2553,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2554,1.0,0.0,0.0,0.0,0.0
2555,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2556,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2557,1.0,0.0,0.0,0.0,0.0
2558,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2559,1.0,0.0,0.0,0.0,0.0
2560,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2561,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2562,1.0,0.0,0.0,0.0,0.0
2563,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2564,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2565,1.0,0.0,0.0,0.0,0.0
2566,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2567,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2568,1.0,0.0,0.0,0.0,0.0
2569,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2570,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2571,1.0,0.0,0.0,0.0,0.0
2572,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2573,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2574,1.0,0.0,0.0,0.0,0.0
2575,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2576,1.0,0.0,0.0,0.0,0.0
2577,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2578,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2579,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2580,1.0,0.0,0.0,0.0,0.0
2581,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2582,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2583,1.0,0.0,0.0,0.0,0.0
2584,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2585,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2586,1.0,0.0,0.0,0.0,0.0
2587,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2588,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2589,1.0,0.0,0.0,0.0,0.0
2590,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2591,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2592,1.0,0.0,0.0,0.0,0.0
2593,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2594,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2595,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2596,1.0,0.0,0.0,0.0,0.0
2597,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2598,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2599,1.0,0.0,0.0,0.0,0.0
2600,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2601,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2602,1.0,0.0,0.0,0.0,0.0
2603,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2604,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2605,1.0,0.0,0.0,0.0,0.0
2606,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2607,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2608,1.0,0.0,0.0,0.0,0.0
2609,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2610,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2611,1.0,0.0,0.0,0.0,0.0
2612,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2613,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2614,1.0,0.0,0.0,0.0,0.0
2615,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2616,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2617,1.0,0.0,0.0,0.0,0.0
2618,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2619,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2620,1.0,0.0,0.0,0.0,0.0
2621,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2622,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2623,1.0,0.0,0.0,0.0,0.0
2624,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2625,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2626,1.0,0.0,0.0,0.0,0.0
2627,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2628,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2629,1.0,0.0,0.0,0.0,0.0
2630,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2631,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2632,1.0,0.0,0.0,0.0,0.0
2633,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2634,1.0,0.0,0.0,0.0,0.0
2635,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2636,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2637,1.0,0.0,0.0,0.0,0.0
2638,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2639,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2640,1.0,0.0,0.0,0.0,0.0
2641,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2642,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2643,1.0,0.0,0.0,0.0,0.0
2644,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2645,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2646,1.0,0.0,0.0,0.0,0.0
2647,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2648,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2649,1.0,0.0,0.0,0.0,0.0
2650,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2651,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2652,1.0,0.0,0.0,0.0,0.0
2653,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2654,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2655,1.0,0.0,0.0,0.0,0.0
2656,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2657,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2658,1.0,0.0,0.0,0.0,0.0
2659,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2660,1.0,0.0,0.0,0.0,0.0
2661,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2662,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2663,1.0,0.0,0.0,0.0,0.0
2664,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2665,1.0,0.0,0.0,0.0,0.0
2666,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2667,1.0,0.0,0.0,0.0,0.0
2668,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2669,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2670,1.0,0.0,0.0,0.0,0.0
2671,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2672,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2673,1.0,0.0,0.0,0.0,0.0
2674,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2675,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2676,1.0,0.0,0.0,0.0,0.0
2677,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2678,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2679,1.0,0.0,0.0,0.0,0.0
2680,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2681,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2682,1.0,0.0,0.0,0.0,0.0
2683,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2684,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2685,1.0,0.0,0.0,0.0,0.0
2686,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2687,1.0,0.0,0.0,0.0,0.0
2688,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2689,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2690,1.0,0.0,0.0,0.0,0.0
2691,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2692,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2693,1.0,0.0,0.0,0.0,0.0
2694,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2695,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2696,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2697,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2698,1.0,0.0,0.0,0.0,0.0
2699,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2700,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2701,1.0,0.0,0.0,0.0,0.0
2702,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2703,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2704,1.0,0.0,0.0,0.0,0.0
2705,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2706,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2707,1.0,0.0,0.0,0.0,0.0
2708,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2709,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2710,1.0,0.0,0.0,0.0,0.0
2711,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2712,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2713,1.0,0.0,0.0,0.0,0.0
2714,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2715,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2716,1.0,0.0,0.0,0.0,0.0
2717,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2718,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2719,1.0,0.0,0.0,0.0,0.0
2720,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2721,1.0,0.0,0.0,0.0,0.0
2722,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2723,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2724,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2725,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2726,1.0,0.0,0.0,0.0,0.0
2727,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2728,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2729,1.0,0.0,0.0,0.0,0.0
2730,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2731,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2732,1.0,0.0,0.0,0.0,0.0
2733,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2734,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2735,1.0,0.0,0.0,0.0,0.0
2736,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2737,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2738,1.0,0.0,0.0,0.0,0.0
2739,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2740,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2741,1.0,0.0,0.0,0.0,0.0
2742,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2743,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2744,1.0,0.0,0.0,0.0,0.0
2745,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2746,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2747,1.0,0.0,0.0,0.0,0.0
2748,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2749,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2750,1.0,0.0,0.0,0.0,0.0
2751,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2752,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2753,1.0,0.0,0.0,0.0,0.0
2754,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2755,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2756,1.0,0.0,0.0,0.0,0.0
2757,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2758,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2759,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2760,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2761,1.0,0.0,0.0,0.0,0.0
2762,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2763,1.0,0.0,0.0,0.0,0.0
2764,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2765,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2766,1.0,0.0,0.0,0.0,0.0
2767,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2768,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2769,1.0,0.0,0.0,0.0,0.0
2770,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2771,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2772,1.0,0.0,0.0,0.0,0.0
2773,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2774,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2775,1.0,0.0,0.0,0.0,0.0
2776,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2777,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2778,1.0,0.0,0.0,0.0,0.0
2779,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2780,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2781,1.0,0.0,0.0,0.0,0.0
2782,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2783,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2784,1.0,0.0,0.0,0.0,0.0
2785,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2786,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2787,1.0,0.0,0.0,0.0,0.0
2788,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2789,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2790,1.0,0.0,0.0,0.0,0.0
2791,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2792,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2793,1.0,0.0,0.0,0.0,0.0
2794,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2795,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2796,1.0,0.0,0.0,0.0,0.0
2797,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2798,1.0,0.0,0.0,0.0,0.0
2799,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2800,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2801,1.0,0.0,0.0,0.0,0.0
2802,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2803,1.0,0.0,0.0,0.0,0.0
2804,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2805,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2806,1.0,0.0,0.0,0.0,0.0
2807,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2808,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2809,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2810,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2811,1.0,0.0,0.0,0.0,0.0
2812,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2813,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2814,1.0,0.0,0.0,0.0,0.0
2815,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2816,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2817,1.0,0.0,0.0,0.0,0.0
2818,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2819,1.0,0.0,0.0,0.0,0.0
2820,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2821,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2822,1.0,0.0,0.0,0.0,0.0
2823,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2824,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2825,1.0,0.0,0.0,0.0,0.0
2826,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2827,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2828,1.0,0.0,0.0,0.0,0.0
2829,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2830,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2831,1.0,0.0,0.0,0.0,0.0
2832,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2833,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2834,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2835,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2836,1.0,0.0,0.0,0.0,0.0
2837,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2838,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2839,1.0,0.0,0.0,0.0,0.0
2840,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2841,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2842,1.0,0.0,0.0,0.0,0.0
2843,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2844,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2845,1.0,0.0,0.0,0.0,0.0
2846,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2847,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2848,1.0,0.0,0.0,0.0,0.0
2849,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2850,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2851,1.0,0.0,0.0,0.0,0.0
2852,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2853,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2854,1.0,0.0,0.0,0.0,0.0
2855,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2856,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2857,1.0,0.0,0.0,0.0,0.0
2858,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2859,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2860,1.0,0.0,0.0,0.0,0.0
2861,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2862,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2863,1.0,0.0,0.0,0.0,0.0
2864,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2865,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2866,1.0,0.0,0.0,0.0,0.0
2867,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2868,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2869,1.0,0.0,0.0,0.0,0.0
2870,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2871,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2872,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2873,1.0,0.0,0.0,0.0,0.0
2874,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2875,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2876,1.0,0.0,0.0,0.0,0.0
2877,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2878,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2879,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2880,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2881,1.0,0.0,0.0,0.0,0.0
2882,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2883,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2884,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2885,1.0,0.0,0.0,0.0,0.0
2886,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2887,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2888,1.0,0.0,0.0,0.0,0.0
2889,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2890,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2891,1.0,0.0,0.0,0.0,0.0
2892,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2893,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2894,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2895,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2896,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2897,1.0,0.0,0.0,0.0,0.0
2898,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2899,1.0,0.0,0.0,0.0,0.0
2900,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2901,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2902,1.0,0.0,0.0,0.0,0.0
2903,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2904,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2905,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2906,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2907,1.0,0.0,0.0,0.0,0.0
2908,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2909,1.0,0.0,0.0,0.0,0.0
2910,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2911,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
2912,1.0,0.0,0.0,0.0,0.0
2913,0.0,0.5583173996175909,0.0,0.4416826003824092,0.0
